COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Gualdo,774,22.22,E,D5,P1,T4,S4
Loro Piceno,"2,303",32.58,P,D4,P2,T4,S3
Macerata,"41,514",92.53,B,D4,P5,T4,S4
Matelica,"9,612",81.10,P,D3,P3,T4,S3
Mogliano,"4,571",29.26,P,D3,P2,T2,S1
Montecassiano,"7,054",33.36,B,D4,P3,T1,S2
Monte Cavallo,122,38.51,Q,,,,
Montecosaro,"7,227",21.88,P,D3,P3,T2,S2
Montefano,"3,400",33.94,P,D3,P1,T1,S1
Montelupone,"3,538",32.67,P,D3,P2,T1,S1
Monte San Giusto,"7,852",20.04,P,D3,P3,T1,S2
Monte San Martino,734,18.47,E,D4,P3,T4,S3
Morrovalle,"10,078",42.58,P,D3,P4,T2,S2
Muccia,878,25.91,Q,,,,
Penna San Giovanni,"1,035",28.08,E,D4,P1,T4,S3
Petriolo,"1,929",15.65,P,D2,P1,T1,S1
Pieve Torina,"1,359",74.80,P,D3,P1,T4,S1
Pioraco,"1,062",19.45,P,D4,P1,T1,S1
Poggio San Vicino,241,13.03,P,D3,P1,T1,S1
Pollenza,"6,475",39.55,P,D3,P2,T4,S3
Porto Recanati,"12,541",17.25,C,D5,P5,T5,S5
Potenza Picena,"15,850",48.55,C,D5,P3,T4,S4
Recanati,"21,097",103.46,B,D4,P4,T4,S3
Ripe San Ginesio,837,10.17,P,D3,P3,T4,S3
San Ginesio,"3,278",78.02,E,D4,P2,T2,S2
San Severino Marche,"12,344",194.25,P,D4,P3,T4,S3
Sant'Angelo in Pontano,"1,361",27.38,P,D3,P2,T2,S1
Sarnano,"3,179",63.17,L,D5,P2,T4,S4
Sefro,438,42.54,Q,,,,
Serrapetrona,922,37.65,P,D4,P2,T4,S3
Serravalle di Chienti,"1,009",95.99,P,D2,P1,T1,S1
Tolentino,"19,113",95.12,B,D3,P4,T4,S4
Treia,"9,255",93.54,B,D3,P3,T2,S2
Urbisaglia,"2,551",22.86,P,D4,P2,T4,S2
Ussita,409,55.29,Q,,,,
Visso,"1,062",100.41,H,D2,P4,T2,S3
Valfornace,"1,015",48.61,P,D4,P2,T4,S3
Acquasanta Terme,"2,696",138.39,L,D4,P3,T4,S4
Acquaviva Picena,"3,747",21.06,G,D3,P1,T2,S1
Appignano del Tronto,"1,728",23.19,P,D2,P1,T4,S2
Arquata del Tronto,"1,087",92.18,E,D2,P3,T4,S3
Ascoli Piceno,"48,169",158.02,B,D4,P4,T4,S4
Carassai,"1,018",22.24,P,D4,P1,T1,S1
Castel di Lama,"8,589",10.98,P,D2,P1,T2,S1
Castignano,"2,709",38.80,P,D4,P2,T2,S2
Castorano,"2,315",14.08,P,D3,P3,T2,S2
Colli del Tronto,"3,717",5.94,P,D5,P4,T4,S5
Comunanza,"3,056",54.40,P,D3,P2,T1,S1
Cossignano,922,14.95,P,D5,P2,T4,S3
Cupra Marittima,"5,361",17.34,G,D5,P5,T5,S5
Folignano,"9,138",14.86,P,D3,P4,T4,S4
Force,"1,249",34.31,E,D4,P1,T1,S1
Grottammare,"16,073",17.99,G,D5,P5,T4,S5
Maltignano,"2,337",8.17,P,D1,P3,T1,S2
Massignano,"1,651",16.30,C,D5,P3,T4,S4
Monsampolo del Tronto,"4,591",15.43,P,D4,P1,T2,S1
Montalto delle Marche,"2,037",33.94,P,D4,P1,T4,S2
Montedinove,510,11.93,P,D5,P1,T5,S4
Montefiore dell'Aso,"2,033",28.21,G,D5,P2,T1,S2
Montegallo,476,48.46,H,D5,P2,T4,S4
Montemonaco,551,67.79,H,D5,P1,T5,S5
Monteprandone,"12,708",26.37,P,D3,P3,T1,S2
Offida,"4,927",49.60,B,D4,P2,T2,S2
Palmiano,185,12.70,P,D3,P3,T4,S3
Ripatransone,"4,202",74.28,G,D4,P1,T1,S1
Roccafluvione,"1,967",60.63,P,D4,P3,T5,S4
Rotella,849,27.44,P,D3,P1,T1,S1
San Benedetto del Tronto,"47,330",25.41,G,D5,P5,T4,S5
Spinetoli,"7,254",12.58,P,D3,P3,T2,S2
Venarotta,"1,997",30.21,P,D2,P1,T4,S3
Aulla,"11,067",59.99,P,D2,P4,T4,S3
Bagnone,"1,814",73.94,B,D4,P1,T4,S2
Carrara,"62,285",71.28,G,D4,P3,T4,S4
Casola in Lunigiana,"1,006",41.54,P,D3,P2,T4,S4
Comano,699,53.83,B,D3,P2,T4,S2
Filattiera,"2,244",48.78,P,D2,P1,T4,S2
Fivizzano,"7,579",181.12,B,D4,P2,T4,S2
Fosdinovo,"4,702",48.39,B,D3,P3,T4,S4
Licciana Nardi,"4,872",55.68,B,D3,P3,T4,S3
Massa,"68,889",93.84,G,D5,P4,T4,S5
Montignoso,"10,298",16.71,L,D5,P4,T4,S4
Mulazzo,"2,398",62.51,P,D4,P4,T4,S4
Podenzana,"2,140",17.10,P,D3,P2,T4,S4
Pontremoli,"7,182",182.52,B,D4,P2,T4,S3
Tresana,"1,962",44.45,P,D3,P3,T2,S2
Villafranca in Lunigiana,"4,727",29.32,P,D4,P1,T4,S2
Zeri,"1,014",73.62,E,D4,P1,T4,S3
Altopascio,"15,532",28.60,P,D4,P4,T2,S3
Bagni di Lucca,"5,932",164.71,F,D4,P3,T4,S3
Barga,"9,818",66.46,B,D4,P5,T4,S4
Borgo a Mozzano,"6,958",72.20,P,D3,P4,T4,S4
Camaiore,"32,283",85.43,C,D5,P5,T5,S5
Camporgiano,"2,133",27.09,P,D4,P2,T4,S2
Capannori,"46,216",156.18,B,D4,P4,T2,S3
Careggine,536,24.08,E,D4,P3,T5,S5
Castelnuovo di Garfagnana,"5,851",28.48,P,D4,P4,T4,S4
Castiglione di Garfagnana,"1,758",48.53,B,D4,P4,T4,S4
Coreglia Antelminelli,"5,163",52.94,B,D4,P2,T1,S1
Forte dei Marmi,"7,249",9.19,C,D5,P5,T5,S5
Fosciandora,589,19.86,P,D4,P2,T4,S4
Gallicano,"3,697",31.04,P,D3,P3,T2,S2
Lucca,"88,824",185.73,L,D5,P5,T4,S5
Massarosa,"22,322",68.24,L,D4,P3,T4,S2
Minucciano,"1,981",57.28,E,D5,P1,T4,S4
Molazzana,"1,034",31.33,P,D4,P2,T4,S3
Montecarlo,"4,370",15.63,B,D4,P4,T4,S4
Pescaglia,"3,439",70.55,P,D4,P2,T4,S2
Piazza al Serchio,"2,250",27.03,P,D3,P2,T2,S1
Pietrasanta,"23,600",42.12,G,D5,P5,T5,S5
Pieve Fosciana,"2,473",28.75,P,D4,P3,T4,S3
Porcari,"8,961",17.89,P,D3,P4,T5,S4
San Romano in Garfagnana,"1,403",26.16,B,D4,P2,T4,S3
Seravezza,"12,830",39.47,P,D3,P2,T4,S3
Stazzema,"3,016",80.13,B,D3,P2,T4,S3
Vagli Sotto,907,41.22,P,D4,P2,T2,S2
Viareggio,"62,056",32.53,L,D5,P5,T5,S5
Villa Basilica,"1,550",36.57,P,D1,P2,T1,S1
Villa Collemandina,"1,298",34.79,B,D5,P2,T5,S4
Fabbriche di Vergemoli,821,42.55,P,D4,P1,T5,S5
Sillano Giuncugnano,"1,026",81.29,H,D5,P1,T4,S3
Agliana,"17,920",11.68,P,D1,P5,T1,S3
Buggiano,"8,882",16.06,P,D3,P3,T4,S3
Lamporecchio,"7,440",22.25,P,D5,P4,T2,S4
Larciano,"6,321",24.97,P,D3,P4,T1,S2
Marliana,"3,172",43.04,P,D3,P2,T5,S4
Massa e Cozzile,"7,894",16.01,P,D2,P3,T4,S3
Monsummano Terme,"21,151",32.62,L,D3,P5,T2,S4
Montale,"10,754",32.12,P,D2,P4,T1,S2
Montecatini-Terme,"20,673",17.69,L,D5,P5,T5,S5
Pescia,"19,674",79.12,B,D4,P4,T4,S4
Pieve a Nievole,"9,236",12.67,P,D3,P3,T2,S2
Pistoia,"90,358",236.40,B,D4,P5,T4,S4
Ponte Buggianese,"8,856",29.52,P,D1,P3,T2,S2
Quarrata,"26,693",45.91,P,D2,P3,T2,S2
Sambuca Pistoiese,"1,568",77.24,P,D2,P2,T1,S1
Serravalle Pistoiese,"11,679",42.03,P,D4,P4,T2,S3
Uzzano,"5,669",7.85,P,D2,P3,T4,S2
Chiesina Uzzanese,"4,547",7.25,P,D4,P5,T4,S5
Abetone Cutigliano,"2,048",74.99,H,D5,P5,T5,S5
San Marcello Piteglio,"7,938",134.73,E,D4,P3,T4,S4
Bagno a Ripoli,"25,566",74.09,P,D4,P5,T4,S5
Barberino di Mugello,"10,937",133.33,B,D4,P4,T4,S4
Borgo San Lorenzo,"18,319",146.36,B,D4,P4,T4,S4
Calenzano,"17,940",76.97,P,D5,P5,T4,S5
Campi Bisenzio,"47,141",28.75,P,D4,P5,T4,S5
Capraia e Limite,"7,829",24.92,P,D4,P4,T4,S3
Castelfiorentino,"17,336",66.34,P,D4,P3,T2,S3
Cerreto Guidi,"10,931",49.31,P,D3,P4,T4,S3
Certaldo,"15,998",75.27,B,D4,P4,T4,S4
Dicomano,"5,514",61.63,P,D4,P2,T4,S3
Empoli,"48,795",62.42,P,D3,P5,T4,S4
Fiesole,"14,088",42.19,B,D5,P5,T5,S5
Firenze,"378,839",102.32,A,D5,P5,T5,S5
Firenzuola,"4,555",271.96,P,D4,P2,T2,S2
Fucecchio,"23,082",65.18,P,D3,P4,T2,S3
Gambassi Terme,"4,807",83.23,F,D5,P4,T4,S4
Greve in Chianti,"13,803",169.37,B,D5,P5,T4,S5
Impruneta,"14,643",48.71,P,D4,P5,T4,S5
Lastra a Signa,"20,294",42.90,P,D4,P5,T4,S4
Londa,"1,911",59.29,B,D4,P1,T5,S4
Marradi,"3,043",154.05,P,D4,P4,T4,S4
Montaione,"3,601",104.76,B,D5,P5,T5,S5
Montelupo Fiorentino,"14,301",24.66,B,D3,P4,T2,S3
Montespertoli,"13,474",124.88,P,D4,P4,T4,S4
Palazzuolo sul Senio,"1,120",109.10,B,D5,P2,T4,S4
Pelago,"7,711",54.56,P,D4,P4,T4,S4
Pontassieve,"20,689",114.40,P,D4,P4,T4,S4
Reggello,"16,563",121.65,P,D5,P4,T4,S4
Rignano sull'Arno,"8,639",54.14,P,D5,P4,T4,S4
Rufina,"7,182",45.88,P,D3,P3,T4,S3
San Casciano in Val di Pesa,"17,159",107.83,P,D4,P5,T4,S4
San Godenzo,"1,109",99.20,B,D4,P2,T4,S4
Scandicci,"50,551",59.69,P,D3,P5,T5,S5
Sesto Fiorentino,"49,331",48.81,P,D4,P5,T2,S5
Signa,"18,874",18.81,P,D4,P5,T4,S4
Vaglia,"5,171",56.94,B,D5,P4,T5,S5
Vicchio,"8,139",138.86,P,D4,P4,T4,S4
Vinci,"14,608",54.18,B,D4,P4,T4,S4
Figline e Incisa Valdarno,"23,411",97.90,P,D5,P5,T4,S5
Scarperia e San Piero,"12,220",115.81,B,D4,P4,T4,S4
Barberino Tavarnelle,"12,125",122.99,B,D5,P5,T4,S5
Bibbona,"3,249",65.61,C,D5,P5,T5,S5
Campiglia Marittima,"12,886",83.28,L,D5,P3,T4,S4
Campo nell'Elba,"4,840",55.79,G,D5,P5,T5,S5
Capoliveri,"4,046",39.56,G,D5,P5,T5,S5
Capraia Isola,407,19.33,G,D5,P4,T5,S5
Castagneto Carducci,"9,055",142.31,G,D5,P5,T5,S5
Cecina,"28,101",42.49,C,D5,P5,T4,S5
Collesalvetti,"16,762",107.99,C,D3,P4,T2,S3
Livorno,"157,783",104.71,G,D5,P5,T4,S5
Marciana,"2,122",45.45,G,D5,P5,T5,S5
Marciana Marina,"1,958",5.86,G,D5,P5,T5,S5
Piombino,"33,559",130.33,G,D5,P5,T4,S5
Porto Azzurro,"3,686",13.33,G,D5,P5,T5,S5
Portoferraio,"12,011",48.03,G,D5,P5,T5,S5
Rosignano Marittimo,"30,807",120.65,C,D5,P5,T4,S5
San Vincenzo,"6,738",33.15,C,D5,P5,T5,S5
Sassetta,471,26.75,C,D5,P5,T5,S5
Suvereto,"3,062",92.38,B,D5,P4,T4,S5
Rio,"3,289",36.52,G,D5,P5,T5,S5
Bientina,"8,431",29.49,P,D2,P5,T4,S4
Buti,"5,594",23.03,P,D3,P1,T4,S2
Calci,"6,405",25.11,B,D3,P2,T4,S3
Calcinaia,"12,726",14.89,P,D3,P4,T2,S3
Capannoli,"6,395",22.73,P,D3,P2,T4,S2
Casale Marittimo,"1,103",14.36,G,D5,P5,T5,S5
Cascina,"45,059",78.61,P,D3,P4,T5,S5
Castelfranco di Sotto,"13,420",48.25,P,D2,P3,T2,S2
Castellina Marittima,"1,940",45.57,C,D4,P3,T4,S4
Castelnuovo di Val di Cecina,"2,162",89.02,B,D4,P3,T4,S4
Chianni,"1,339",61.99,P,D5,P3,T5,S5
Fauglia,"3,684",42.43,P,D4,P3,T2,S2
Guardistallo,"1,220",23.61,P,D5,P5,T5,S5
Lajatico,"1,311",72.67,P,D5,P3,T5,S5
Montecatini Val di Cecina,"1,669",154.95,P,D5,P5,T4,S5
Montescudaio,"2,166",20.15,G,D5,P3,T4,S5
Monteverdi Marittimo,756,98.07,P,D5,P4,T5,S5
Montopoli in Val d'Arno,"11,149",30.17,P,D5,P3,T2,S3
Orciano Pisano,615,11.62,P,D1,P1,T1,S1
Palaia,"4,542",73.64,P,D5,P5,T5,S5
Peccioli,"4,742",92.54,B,D4,P4,T2,S3
Pisa,"88,880",185.07,G,D5,P5,T4,S5
Pomarance,"5,661",227.84,B,D5,P3,T1,S2
Ponsacco,"15,598",19.88,P,D3,P4,T2,S3
Pontedera,"29,223",46.03,B,D4,P5,T2,S3
Riparbella,"1,612",58.96,P,D5,P5,T5,S5
San Giuliano Terme,"31,195",91.94,L,D4,P5,T4,S5
San Miniato,"27,959",102.58,B,D4,P4,T4,S3
Santa Croce sull'Arno,"14,594",16.79,P,D1,P3,T4,S2
Santa Luce,"1,638",66.62,P,D5,P3,T5,S5
Santa Maria a Monte,"13,157",38.04,P,D3,P4,T1,S2
Terricciola,"4,509",43.28,P,D4,P3,T4,S3
Vecchiano,"12,068",67.55,L,D3,P5,T4,S4
Vicopisano,"8,593",26.87,F,D2,P3,T4,S3
Volterra,"10,159",252.64,B,D5,P5,T5,S5
Casciana Terme Lari,"12,327",81.40,L,D4,P3,T2,S3
Crespina Lorenzana,"5,436",46.43,P,D3,P4,T2,S3
Anghiari,"5,501",130.92,B,D4,P3,T4,S4
Arezzo,"99,179",384.75,B,D5,P5,T4,S5
Badia Tedalda,"1,051",118.72,E,D4,P2,T4,S3
Bibbiena,"12,076",86.51,B,D3,P3,T1,S2
Bucine,"10,091",131.62,P,D5,P3,T4,S3
Capolona,"5,380",47.56,P,D3,P2,T2,S2
Caprese Michelangelo,"1,410",66.53,H,D5,P2,T4,S4
Castel Focognano,"3,092",56.63,P,D2,P1,T1,S1
Castel San Niccolò,"2,631",83.27,P,D3,P2,T4,S2
Castiglion Fibocchi,"2,124",25.46,P,D4,P2,T1,S2
Castiglion Fiorentino,"13,129",111.43,B,D4,P4,T2,S4
Cavriglia,"9,554",60.87,P,D5,P3,T2,S3
Chitignano,893,14.89,P,D4,P1,T4,S2
Chiusi della Verna,"1,958",102.32,H,D5,P4,T2,S4
Civitella in Val di Chiana,"9,003",100.33,P,D4,P3,T4,S3
Cortona,"21,984",342.73,L,D5,P4,T5,S5
Foiano della Chiana,"9,528",40.78,P,D4,P3,T4,S3
Loro Ciuffenna,"5,878",86.52,B,D4,P4,T4,S4
Lucignano,"3,544",44.93,B,D4,P3,T4,S4
Marciano della Chiana,"3,427",23.69,P,D2,P2,T4,S2
Montemignaio,536,25.94,E,D4,P5,T4,S4
Monterchi,"1,715",29.42,B,D4,P1,T4,S2
Monte San Savino,"8,702",89.81,P,D4,P3,T4,S3
Montevarchi,"24,490",56.66,B,D3,P4,T2,S3
Ortignano Raggiolo,861,36.30,B,D4,P3,T1,S2
Pieve Santo Stefano,"3,087",156.09,P,D4,P3,T4,S4
Poppi,"6,114",97.08,B,D5,P4,T4,S4
San Giovanni Valdarno,"16,823",21.45,P,D3,P3,T4,S3
Sansepolcro,"15,801",91.19,B,D4,P4,T4,S4
Sestino,"1,282",80.23,P,D3,P2,T1,S1
Subbiano,"6,412",77.84,P,D4,P3,T1,S2
Talla,"1,014",59.89,P,D5,P1,T1,S1
Terranuova Bracciolini,"12,268",85.88,P,D4,P4,T2,S3
Castelfranco Piandiscò,"9,828",55.99,B,D3,P2,T4,S2
Pratovecchio Stia,"5,652",138.23,B,D4,P3,T2,S2
Laterina Pergine Valdarno,"6,636",70.54,P,D4,P4,T4,S4
Abbadia San Salvatore,"6,275",58.99,H,D4,P4,T4,S4
Asciano,"7,038",215.63,B,D5,P5,T4,S5
Buonconvento,"3,102",64.84,B,D4,P4,T4,S4
Casole d'Elsa,"3,829",148.70,B,D5,P5,T4,S5
Castellina in Chianti,"2,814",99.80,P,D5,P5,T5,S5
Castelnuovo Berardenga,"9,112",177.11,B,D5,P5,T5,S5
Castiglione d'Orcia,"2,265",141.54,B,D5,P4,T5,S5
Cetona,"2,602",53.54,B,D4,P3,T5,S4
Chianciano Terme,"7,079",36.56,L,D5,P5,T5,S5
Chiusdino,"1,849",141.57,P,D5,P5,T5,S5
Chiusi,"8,429",58.07,L,D4,P4,T4,S4
Colle di Val d'Elsa,"21,737",92.03,P,D4,P4,T4,S4
Gaiole in Chianti,"2,705",128.88,P,D5,P5,T5,S5
Montepulciano,"13,824",165.54,L,D5,P5,T5,S5
Monteriggioni,"10,033",99.73,B,D4,P5,T4,S4
Monteroni d'Arbia,"9,070",105.86,P,D4,P4,T2,S3
Monticiano,"1,526",109.50,P,D5,P3,T5,S5
Murlo,"2,413",114.62,B,D5,P5,T5,S5
Piancastagnaio,"4,129",69.63,E,D3,P2,T4,S2
Pienza,"2,074",122.87,B,D5,P5,T5,S5
Poggibonsi,"28,948",70.60,B,D4,P5,T2,S4
Radda in Chianti,"1,548",80.41,B,D5,P5,T5,S5
Radicofani,"1,062",117.98,H,D5,P3,T4,S4
Radicondoli,922,132.53,F,D5,P4,T4,S5
Rapolano Terme,"5,379",83.02,F,D5,P5,T4,S5
San Casciano dei Bagni,"1,578",92.14,L,D5,P5,T5,S5
San Gimignano,"7,760",138.57,B,D5,P5,T5,S5
San Quirico d'Orcia,"2,614",42.24,L,D5,P5,T5,S5
Sarteano,"4,664",84.84,B,D5,P4,T5,S5
Siena,"53,937",118.53,B,D5,P5,T5,S5
Sinalunga,"12,514",78.68,P,D4,P3,T4,S3
Sovicille,"10,028",143.58,P,D4,P4,T4,S4
Torrita di Siena,"7,267",58.34,B,D4,P3,T2,S3
Trequanda,"1,228",63.95,B,D5,P5,T4,S5
Montalcino,"5,843",310.39,B,D5,P5,T5,S5
Arcidosso,"4,279",93.25,E,D5,P2,T4,S3
Campagnatico,"2,369",162.29,P,D4,P2,T4,S3
Capalbio,"4,068",187.35,G,D5,P5,T5,S5
Castel del Piano,"4,808",67.77,E,D4,P3,T4,S3
Castell'Azzara,"1,408",64.23,E,D4,P3,T4,S3
Castiglione della Pescaia,"7,202",209.10,G,D5,P5,T5,S5
Cinigiano,"2,474",161.55,P,D5,P2,T4,S4
Civitella Paganico,"3,154",192.90,F,D5,P3,T4,S4
Follonica,"21,106",56.05,G,D5,P5,T5,S5
Gavorrano,"8,505",164.08,P,D4,P3,T5,S4
Grosseto,"82,353",473.53,G,D5,P5,T4,S5
Isola del Giglio,"1,436",24.01,G,D5,P5,T5,S5
Magliano in Toscana,"3,452",250.86,C,D5,P3,T4,S4
Manciano,"7,210",372.50,L,D5,P5,T5,S5
Massa Marittima,"8,303",283.44,B,D5,P4,T5,S5
Monte Argentario,"12,397",60.40,G,D5,P4,T5,S5
Montieri,"1,178",108.20,E,D5,P2,T5,S4
Orbetello,"14,731",226.81,G,D5,P5,T5,S5
Pitigliano,"3,744",101.96,B,D4,P3,T5,S5
Roccalbegna,967,124.86,P,D5,P2,T4,S3
Roccastrada,"9,010",284.46,P,D4,P3,T4,S3
Santa Fiora,"2,560",63.45,H,D4,P2,T2,S2
Scansano,"4,376",273.56,P,D4,P3,T4,S4
Scarlino,"3,916",88.23,C,D5,P5,T4,S5
Seggiano,981,49.43,P,D5,P3,T4,S4
Sorano,"3,265",174.56,B,D5,P4,T5,S5
Monterotondo Marittimo,"1,316",102.69,F,D5,P3,T1,S2
Semproniano,"1,061",81.65,E,D5,P3,T4,S4
Assisi,"28,314",187.19,B,D5,P5,T5,S5
Bastia Umbra,"21,781",27.60,P,D4,P4,T4,S4
Bettona,"4,347",45.07,B,D4,P4,T4,S4
Bevagna,"4,955",56.22,B,D5,P3,T4,S4
Campello sul Clitunno,"2,354",49.76,B,D4,P4,T4,S4
Cannara,"4,355",32.81,P,D4,P4,T4,S3
Cascia,"3,099",180.83,E,D5,P5,T5,S5
Castel Ritaldi,"3,209",22.44,P,D3,P3,T2,S2
Castiglione del Lago,"15,423",205.27,L,D5,P4,T4,S4
Cerreto di Spoleto,"1,038",74.78,P,D4,P2,T4,S4
Citerna,"3,432",23.53,P,D3,P2,T2,S1
Città della Pieve,"7,709",110.94,B,D4,P3,T5,S5
Città di Castello,"39,439",387.32,B,D4,P4,T4,S4
Collazzone,"3,448",54.76,P,D5,P4,T4,S4
Corciano,"21,391",63.72,B,D4,P4,T2,S3
Costacciaro,"1,159",41.06,P,D5,P2,T4,S4
Deruta,"9,705",45.36,B,D3,P4,T2,S3
Foligno,"57,059",264.66,B,D4,P4,T4,S4
Fossato di Vico,"2,708",35.39,P,D3,P3,T1,S2
Fratta Todina,"1,855",17.43,P,D4,P3,T2,S2
Giano dell'Umbria,"3,858",44.48,P,D4,P3,T2,S2
Gualdo Cattaneo,"5,892",96.62,P,D4,P3,T2,S3
Gualdo Tadino,"14,949",124.28,B,D4,P2,T4,S2
Gubbio,"31,547",525.77,B,D5,P4,T4,S5
Lisciano Niccone,602,35.18,D,D5,P2,T5,S5
Magione,"14,802",129.73,D,D5,P4,T4,S4
Marsciano,"18,574",161.53,P,D3,P3,T4,S2
Massa Martana,"3,673",78.41,B,D4,P3,T2,S3
Monte Castello di Vibio,"1,514",31.95,B,D4,P2,T4,S4
Montefalco,"5,535",69.51,B,D4,P4,T4,S4
Monteleone di Spoleto,582,62.17,H,D4,P3,T4,S3
Monte Santa Maria Tiberina,"1,156",72.53,E,D5,P2,T5,S5
Montone,"1,618",51.09,B,D5,P5,T2,S4
Nocera Umbra,"5,672",157.16,F,D5,P3,T4,S4
Norcia,"4,815",275.57,H,D5,P3,T4,S4
Paciano,979,16.91,B,D5,P3,T5,S5
Panicale,"5,515",79.26,L,D4,P2,T2,S2
Passignano sul Trasimeno,"5,672",81.33,L,D5,P5,T5,S5
Perugia,"165,956",449.61,L,D5,P5,T4,S5
Piegaro,"3,549",99.08,P,D4,P3,T1,S2
Pietralunga,"2,057",140.42,P,D4,P3,T5,S5
Poggiodomo,100,40.09,E,D5,P1,T1,S2
Preci,700,82.02,B,D5,P5,T5,S5
San Giustino,"11,227",79.98,P,D3,P3,T2,S2
Sant'Anatolia di Narco,563,46.55,P,D4,P3,T1,S2
Scheggia e Pascelupo,"1,333",64.15,P,D3,P1,T4,S3
Scheggino,463,35.85,P,D5,P5,T5,S5
Sellano,"1,027",85.84,H,D5,P2,T4,S3
Sigillo,"2,366",26.47,P,D3,P3,T4,S3
Spello,"8,565",61.64,B,D4,P4,T4,S4
Spoleto,"37,855",348.14,B,D4,P5,T5,S5
Todi,"16,434",222.86,B,D5,P4,T4,S5
Torgiano,"6,607",37.67,B,D4,P5,T4,S4
Trevi,"8,349",71.19,B,D4,P4,T4,S4
Tuoro sul Trasimeno,"3,786",55.88,L,D5,P4,T5,S5
Umbertide,"16,645",200.83,P,D4,P3,T4,S3
Valfabbrica,"3,361",92.30,P,D4,P3,T4,S4
Vallo di Nera,353,36.22,B,D4,P2,T5,S5
Valtopina,"1,351",40.57,P,D4,P2,T4,S3
Acquasparta,"4,670",81.61,B,D4,P2,T2,S2
Allerona,"1,763",82.61,B,D4,P3,T4,S3
Alviano,"1,438",23.90,P,D4,P2,T2,S1
Amelia,"11,819",132.50,B,D4,P2,T4,S3
Arrone,"2,715",41.03,B,D4,P3,T4,S4
Attigliano,"1,978",10.51,P,D4,P5,T4,S4
Baschi,"2,673",68.57,P,D5,P2,T4,S4
Calvi dell'Umbria,"1,784",46.01,P,D4,P2,T5,S4
Castel Giorgio,"2,105",42.14,D,D4,P4,T5,S5
Castel Viscardo,"2,861",26.22,P,D3,P3,T4,S3
Fabro,"2,752",34.55,P,D5,P5,T4,S5
Ferentillo,"1,859",69.59,P,D4,P2,T5,S4
Ficulle,"1,618",64.62,P,D4,P4,T5,S5
Giove,"1,897",15.09,P,D3,P2,T4,S3
Guardea,"1,780",39.38,P,D3,P3,T5,S4
Lugnano in Teverina,"1,434",29.83,B,D3,P2,T5,S4
Montecastrilli,"5,055",62.43,P,D3,P1,T1,S1
Montecchio,"1,640",49.22,B,D4,P2,T4,S4
Montefranco,"1,283",10.09,P,D4,P3,T4,S3
Montegabbione,"1,191",51.06,P,D4,P2,T5,S4
Monteleone d'Orvieto,"1,434",24.10,P,D4,P2,T4,S3
Narni,"19,055",197.98,B,D4,P4,T2,S3
Orvieto,"20,148",281.27,L,D5,P5,T4,S5
Otricoli,"1,798",27.41,P,D3,P3,T5,S4
Parrano,505,40.09,P,D4,P4,T2,S4
Penna in Teverina,"1,068",10.00,P,D3,P2,T4,S3
Polino,226,19.57,E,D4,P4,T5,S5
Porano,"1,945",13.60,P,D2,P3,T2,S2
San Gemini,"4,938",27.90,B,D3,P5,T4,S4
San Venanzo,"2,198",169.45,P,D5,P3,T2,S3
Stroncone,"4,781",71.16,P,D4,P2,T1,S2
Terni,"110,749",212.43,B,D4,P4,T4,S4
Avigliano Umbro,"2,473",51.34,P,D4,P4,T4,S4
Acquapendente,"5,434",131.60,B,D4,P2,T5,S5
Arlena di Castro,855,21.87,P,D3,P4,T2,S3
Bagnoregio,"3,597",72.81,D,D4,P2,T4,S4
Barbarano Romano,"1,069",37.56,Q,,,,
Bassano Romano,"4,791",37.55,P,D3,P2,T4,S3
Bassano in Teverina,"1,268",12.17,Q,,,,
Blera,"3,255",92.91,P,D3,P1,T4,S3
Bolsena,"3,917",63.57,L,D5,P5,T5,S5
Bomarzo,"1,795",39.64,B,D3,P2,T5,S5
Calcata,910,7.63,P,D1,P1,T4,S3
Canepina,"3,019",20.85,P,D1,P1,T4,S2
Canino,"5,286",124.04,P,D3,P2,T4,S2
Capodimonte,"1,694",61.29,D,D5,P1,T5,S5
Capranica,"6,442",40.97,P,D3,P1,T2,S1
Caprarola,"5,366",57.58,L,D4,P3,T4,S3
Carbognano,"1,971",17.41,Q,,,,
Castel Sant'Elia,"2,594",23.92,P,D1,P1,T5,S5
Castiglione in Teverina,"2,319",19.89,P,D3,P1,T2,S1
Celleno,"1,308",23.82,P,D4,P1,T4,S2
Cellere,"1,142",37.20,P,D2,P3,T1,S2
Civita Castellana,"16,171",84.22,P,D2,P4,T1,S2
Civitella d'Agliano,"1,572",32.96,P,D4,P2,T5,S5
Corchiano,"3,738",33.03,P,D2,P1,T1,S1
Fabrica di Roma,"8,275",34.79,P,D3,P1,T2,S1
Faleria,"2,150",25.68,Q,,,,
Farnese,"1,466",52.38,P,D3,P2,T4,S2
Gallese,"2,816",37.17,P,D2,P1,T1,S1
Gradoli,"1,323",43.81,Q,,,,
Graffignano,"2,204",29.10,P,D1,P1,T4,S1
Grotte di Castro,"2,605",33.42,P,D3,P1,T1,S1
Ischia di Castro,"2,259",104.94,P,D3,P1,T4,S1
Latera,811,22.43,P,D3,P2,T2,S2
